RUSHING,GP,ATT,ATT/G,YDS,AVG,YDS/G,TD,LNG,BIG,100+,STUFF,YDS,FUM,FUML,1ST,PCT
"Williams, KyleÿBUF",16,1,0.1,1,1,0.1,1,1,0,0,0,0,0,0,1,100.00%
"Miller, BraxtonÿHOU",11,1,0.1,1,1,0.1,0,1,0,0,0,0,0,0,0,0.00%
"Thomas, LawrenceÿNYJ",14,2,0.1,1,0.5,0.1,0,1,0,0,0,0,0,0,0,0.00%
"Njoku, DavidÿCLE",16,1,0.1,1,1,0.1,0,1,0,0,0,0,0,0,0,0.00%
"Mays, DevanteÿGB",8,4,0.5,1,0.3,0.1,0,2,0,0,1,4,2,1,0,0.00%
"Davis, JustinÿLAR",4,1,0.3,1,1,0.3,0,1,0,0,0,0,0,0,0,0.00%
"Weems, EricÿTEN",16,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
"Smith, EvanÿTB",15,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Unger, MaxÿNO",16,0,0,0,-,0,0,0,0,0,0,0,1,0,0,-
"Spiller, C.J.ÿKC",1,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0.00%
